tv_season,rank,title,network,rating
2005–2006,23,Extreme Makeover: Home Edition,ABC,8.6
2005–2006,24,Commander in Chief,ABC,8.4
2005–2006,25,The New Adventures of Old Christine,CBS,8.3
2005–2006,25,Unan1mous,FOX,8.3
2005–2006,27,Criminal Minds,CBS,8.2
2005–2006,28,24,FOX,8.1
2005–2006,28,ER,NBC,8.1
2005–2006,30,Out of Practice,CBS,7.8
2006–2007,1,American Idol — Wednesday,FOX,17.3
2006–2007,2,American Idol — Tuesday,FOX,16.8
2006–2007,3,Dancing with the Stars — Monday,ABC,12.7
2006–2007,3,Dancing with the Stars — Tuesday,ABC,12.7
2006–2007,3,Dancing with the Stars — Wednesday,ABC,12.7
2006–2007,6,CSI: Crime Scene Investigation,CBS,12.2
2006–2007,7,Grey's Anatomy,ABC,12.1
2006–2007,8,House,FOX,11.1
2006–2007,9,Desperate Housewives,ABC,10.8
2006–2007,10,CSI: Miami,CBS,10.7
2006–2007,11,Sunday Night Football,NBC,10.5
2006–2007,12,Without a Trace,CBS,9.4
2006–2007,13,Deal or No Deal — Monday,NBC,9.2
2006–2007,14,Two and a Half Men,CBS,9.1
2006–2007,15,NCIS,CBS,9.0
2006–2007,16,CSI: NY,CBS,8.9
2006–2007,16,Cold Case,CBS,8.9
2006–2007,18,Criminal Minds,CBS,8.8
2006–2007,18,Survivor,CBS,8.8
2006–2007,20,60 Minutes,CBS,8.7
2006–2007,20,Shark,CBS,8.7
2006–2007,22,Lost,ABC,8.3
2006–2007,23,Heroes,NBC,8.0
2006–2007,24,Law & Order: Special Victims Unit,NBC,7.9
2006–2007,25,Rules of Engagement,CBS,7.8
2006–2007,26,Extreme Makeover: Home Edition,ABC,7.7
2006–2007,27,Ugly Betty,ABC,7.4
2006–2007,27,ER,NBC,7.4
2006–2007,27,24,FOX,7.4
2006–2007,30,Brothers & Sisters,ABC,7.3
2006–2007,30,The King of Queens,CBS,7.3
2006–2007,30,Are You Smarter than a 5th Grader?,FOX,7.3
2007–2008,1,American Idol — Tuesday,FOX,16.1
2007–2008,2,American Idol — Wednesday,FOX,15.9
2007–2008,3,Dancing with the Stars — Monday,ABC,14.0
2007–2008,4,Dancing with the Stars — Wednesday,ABC,12.6
2007–2008,5,Dancing with the Stars — Tuesday,ABC,12.3
2007–2008,6,Desperate Housewives,ABC,11.6
2007–2008,7,CSI: Crime Scene Investigation,CBS,10.6
2007–2008,8,House,FOX,10.5
2007–2008,9,Grey's Anatomy,ABC,10.4
2007–2008,10,Sunday Night Football,NBC,9.7
2007–2008,11,CSI: Miami,CBS,9.2
2007–2008,11,NCIS,CBS,9.2
2007–2008,13,Without a Trace,CBS,8.8
2007–2008,13,The Moment of Truth,FOX,8.8
2007–2008,15,Two and a Half Men,CBS,8.5
2007–2008,15,Survivor,CBS,8.5
2007–2008,17,60 Minutes,CBS,8.4
2007–2008,18,Criminal Minds,CBS,8.2
2007–2008,19,Samantha Who?,ABC,8.0
2007–2008,20,Lost,ABC,7.9
2007–2008,21,Extreme Makeover: Home Edition,ABC,7.8
2007–2008,22,Brothers & Sisters,ABC,7.6
2007–2008,22,CSI: NY,CBS,7.6
2007–2008,22,Heroes,NBC,7.6
2007–2008,22,Law & Order: Special Victims Unit,NBC,7.6
2007–2008,26,Private Practice,ABC,7.3
2007–2008,27,Law & Order,NBC,7.2
2007–2008,28,Cold Case,CBS,7.1
2007–2008,28,Deal or No Deal — Monday,NBC,7.1
2007–2008,30,Shark,CBS,7.0
2007–2008,30,The Unit,CBS,7.0
2007–2008,30,Hell's Kitchen,FOX,7.0
2008–2009,1,American Idol — Wednesday,FOX,15.1
2008–2009,2,American Idol — Tuesday,FOX,14.6
2008–2009,3,Dancing with the Stars — Monday,ABC,12.9
2008–2009,4,CSI: Crime Scene Investigation,CBS,11.5
2008–2009,5,NCIS,CBS,10.9
2008–2009,6,The Mentalist,CBS,10.8
2008–2009,7,Dancing with the Stars — Tuesday,ABC,10.7
2008–2009,8,Sunday Night Football,NBC,10.0
2008–2009,9,Desperate Housewives,ABC,9.9
2008–2009,10,Grey's Anatomy,ABC,9.6
2008–2009,11,Criminal Minds,CBS,9.4
2008–2009,12,Two and a Half Men,CBS,9.1
2008–2009,12,CSI: Miami,CBS,9.1
2008–2009,14,60 Minutes,CBS,8.9
2008–2009,15,CSI: NY,CBS,8.6
2008–2009,16,Without a Trace,CBS,8.4
2008–2009,17,House,FOX,8.1
2008–2009,18,Survivor,CBS,7.8
2008–2009,18,Eleventh Hour,CBS,7.8
2008–2009,20,Cold Case,CBS,7.5
2008–2009,20,The Bachelor,ABC,7.5
2008–2009,22,24,FOX,7.3
2008–2009,23,Brothers & Sisters,ABC,7.2
2008–2009,24,Rules of Engagement,CBS,7.1
2008–2009,25,Castle,ABC,6.9
2008–2009,26,Law & Order: Special Victims Unit,NBC,6.7
2008–2009,26,ER,NBC,6.7
2008–2009,26,Bones,FOX,6.7
2008–2009,29,Ghost Whisperer,CBS,6.6
2008–2009,29,Lost,ABC,6.6
2008–2009,29,NUMB3RS,CBS,6.6
2009–2010,1,American Idol — Tuesday,FOX,13.7
2009–2010,2,American Idol — Wednesday,FOX,13.3
2009–2010,3,Dancing with the Stars,ABC,12.6
2009–2010,4,NCIS,CBS,11.5
2009–2010,5,Sunday Night Football,NBC,11.3
2009–2010,6,The Mentalist,CBS,10.6
2009–2010,7,Dancing with the Stars — Results,ABC,9.9
2009–2010,8,NCIS: Los Angeles,CBS,9.8
2009–2010,8,Undercover Boss,CBS,9.8
2009–2010,10,CSI: Crime Scene Investigation,CBS,9.7
2009–2010,11,Grey's Anatomy,ABC,9.0
2009–2010,12,Two and a Half Men,CBS,8.9
2009–2010,13,Desperate Housewives,ABC,8.8
2009–2010,14,The Big Bang Theory,CBS,8.7
2009–2010,14,Criminal Minds,CBS,8.7
2009–2010,14,The Good Wife,CBS,8.7
2009–2010,17,60 Minutes,CBS,8.4
2009–2010,18,CSI: Miami,CBS,8.1
2009–2010,19,CSI: NY,CBS,7.9
2009–2010,19,Survivor,CBS,7.9
2009–2010,21,The Bachelor,ABC,7.8
2009–2010,22,House,FOX,7.5
2009–2010,23,Brothers & Sisters,ABC,7.0
2009–2010,24,Castle,ABC,6.9
2009–2010,24,Lost,ABC,6.9
2009–2010,26,The Amazing Race,CBS,6.6
2009–2010,27,Bones,FOX,6.5
2009–2010,28,24,FOX,6.4
2009–2010,29,Cold Case,CBS,6.3
2009–2010,29,Private Practice,ABC,6.3
2010–2011,1,American Idol — Wednesday,FOX,14.5
2010–2011,2,Dancing with the Stars,ABC,13.8
2010–2011,3,American Idol — Thursday,FOX,13.4
2010–2011,4,Sunday Night Football,NBC,12.7
2010–2011,5,NCIS,CBS,11.8
2010–2011,5,Dancing with the Stars — Results,ABC,11.8
2010–2011,7,NCIS: Los Angeles,CBS,10.1
2010–2011,8,The Mentalist,CBS,9.6
2010–2011,9,Body of Proof,ABC,9.0
2010–2011,10,Criminal Minds,CBS,8.7
2010–2011,11,The Good Wife,CBS,8.5
2010–2011,12,60 Minutes,CBS,8.4
2010–2011,12,CSI: Crime Scene Investigation,CBS,8.4
2010–2011,14,The Big Bang Theory,CBS,8.0
2010–2011,14,Blue Bloods,CBS,8.0
2010–2011,16,Two and a Half Men,CBS,7.7
2010–2011,17,The Voice,NBC,7.5
2010–2011,17,Hawaii Five-0,CBS,7.5
2010–2011,17,Desperate Housewives,ABC,7.5
2010–2011,17,Grey's Anatomy,ABC,7.5
2010–2011,21,Survivor,CBS,7.4
2010–2011,22,Harry's Law,NBC,7.3
2010–2011,22,CSI: Miami,CBS,7.3
2010–2011,22,Castle,ABC,7.3
2010–2011,25,Undercover Boss,CBS,7.1
2010–2011,25,Modern Family,ABC,7.1
2010–2011,27,The Bachelor,ABC,7.0
2010–2011,27,Bones,FOX,7.0
2010–2011,29,Criminal Minds: Suspect Behavior,CBS,6.9
2010–2011,29,Mike & Molly,CBS,6.9
2011–2012,1,Sunday Night Football,NBC,12.4
2011–2012,2,NCIS,CBS,12.3
2011–2012,3,Dancing with the Stars,ABC,12.0
2011–2012,4,American Idol — Wednesday,FOX,11.8
2011–2012,5,American Idol — Thursday,FOX,11.0
2011–2012,6,Dancing with the Stars — Results,ABC,10.6
2011–2012,7,NCIS: Los Angeles,CBS,10.2
2011–2012,8,The Big Bang Theory,CBS,9.7
2011–2012,9,The Mentalist,CBS,9.3
2011–2012,10,The Voice,NBC,9.2
2011–2012,11,Two and a Half Men,CBS,9.1
2011–2012,12,Person of Interest,CBS,9.0
2011–2012,13,Criminal Minds,CBS,8.6
2011–2012,14,60 Minutes,CBS,8.3
2011–2012,15,Modern Family,ABC,8.1
2011–2012,16,CSI: Crime Scene Investigation,CBS,8.0
2011–2012,16,Castle,ABC,8.0
2011–2012,18,Unforgettable,CBS,7.9
2011–2012,19,Blue Bloods,CBS,7.8
2011–2012,19,The Good Wife,CBS,7.8
2011–2012,21,Hawaii Five-0,CBS,7.6
2011–2012,21,Grey's Anatomy,ABC,7.6
2011–2012,23,The X Factor — Thursday,FOX,7.4
2011–2012,23,The X Factor — Wednesday,FOX,7.4
2011–2012,25,Mike & Molly,CBS,7.2
2011–2012,25,Rob,CBS,7.2
2011–2012,27,CSI: Miami,CBS,7.1
2011–2012,28,2 Broke Girls,CBS,7.0
2011–2012,28,Desperate Housewives,ABC,7.0
2011–2012,28,Once Upon a Time,ABC,7.0
2012–2013,1,NCIS,CBS,13.5
2012–2013,2,Sunday Night Football,NBC,12.4
2012–2013,3,The Big Bang Theory,CBS,11.6
2012–2013,4,NCIS: Los Angeles,CBS,11.0
2012–2013,5,Person of Interest,CBS,10.0
2012–2013,6,Dancing with the Stars,ABC,9.9
2012–2013,7,American Idol — Wednesday,FOX,9.2
2012–2013,7,Dancing with the Stars — Results,ABC,9.2
2012–2013,9,American Idol — Thursday,FOX,8.9
2012–2013,10,Two and a Half Men,CBS,8.7
2012–2013,10,The Voice,NBC,8.7
2012–2013,12,Blue Bloods,CBS,8.5
2012–2013,13,The Voice — Tuesday,NBC,8.4
2012–2013,14,Elementary,CBS,8.3
2012–2013,15,Castle,ABC,8.1
2012–2013,16,60 Minutes,CBS,8.0
2012–2013,16,Criminal Minds,CBS,8.0
2012–2013,18,CSI: Crime Scene Investigation,CBS,7.7
2012–2013,18,Grey's Anatomy,ABC,7.7
2012–2013,18,The Mentalist,CBS,7.7
2012–2013,18,Modern Family,ABC,7.7
2012–2013,18,Vegas,CBS,7.7
2012–2013,23,Body of Proof,ABC,7.3
2012–2013,23,CSI: NY,CBS,7.3
2012–2013,23,The Following,FOX,7.3
2012–2013,23,The Good Wife,CBS,7.3
2012–2013,23,Survivor: Philippines,CBS,7.3
2012–2013,28,2 Broke Girls,CBS,6.8
2012–2013,28,Hawaii Five-0,CBS,6.8
2012–2013,30,Survivor: Caramoan,CBS,6.7
2013–2014,1,Sunday Night Football,NBC,12.6
2013–2014,1,NCIS,CBS,12.6
2013–2014,3,The Big Bang Theory,CBS,12.3
2013–2014,4,NCIS: Los Angeles,CBS,10.3
2013–2014,5,Dancing with the Stars,ABC,10.0
2013–2014,6,The Blacklist,NBC,9.5
2013–2014,7,Person of Interest,CBS,9.0
2013–2014,8,The Voice,NBC,8.9
2013–2014,9,Blue Bloods,CBS,8.8
2013–2014,10,The Voice — Tuesday,NBC,8.6
2013–2014,11,Grey's Anatomy,ABC,8.5
2013–2014,12,Castle,ABC,8.3
2013–2014,13,Criminal Minds,CBS,8.2
2013–2014,13,Scandal,ABC,8.2
2013–2014,15,Resurrection,ABC,8.1
2013–2014,16,CSI: Crime Scene Investigation,CBS,7.8
2013–2014,17,60 Minutes,CBS,7.7
2013–2014,18,Elementary,CBS,7.6
2013–2014,18,The Good Wife,CBS,7.6
2013–2014,18,Modern Family,ABC,7.6
2013–2014,21,Hawaii Five-0,CBS,7.5
2013–2014,22,American Idol — Wednesday,FOX,7.4
2013–2014,23,The Mentalist,CBS,7.3
2013–2014,24,The Millers,CBS,7.1
2013–2014,25,Survivor,CBS,7.0
2013–2014,25,American Idol — Thursday,FOX,7.0
2013–2014,27,Two and a Half Men,CBS,6.8
2013–2014,28,How I Met Your Mother,CBS,6.6
2013–2014,29,Chicago Fire,NBC,6.5
2013–2014,29,Intelligence,CBS,6.5
2014–2015,1,Sunday Night Football,NBC,12.3
2014–2015,2,The Big Bang Theory,CBS,11.6
2014–2015,2,NCIS,CBS,11.6
2014–2015,4,NCIS: New Orleans,CBS,11.3
2014–2015,5,Empire,FOX,10.9
2014–2015,6,Thursday Night Football,CBS,10.6
2014–2015,7,Dancing with the Stars,ABC,9.7
2014–2015,8,Criminal Minds,CBS,9.0
2014–2015,8,Madam Secretary,CBS,9.0
2014–2015,8,Scandal,ABC,9.0
2014–2015,11,Blue Bloods,CBS,8.8
2014–2015,12,The Blacklist,NBC,8.7
2014–2015,13,The Voice: Monday,NBC,8.5
2014–2015,14,Scorpion,CBS,8.4
2014–2015,15,The Voice: Tuesday,NBC,8.3
2014–2015,16,The Good Wife,CBS,8.1
2014–2015,17,60 Minutes,CBS,7.8
2014–2015,17,Grey's Anatomy,ABC,7.8
2014–2015,17,Hawaii Five-0,CBS,7.8
2014–2015,20,How to Get Away with Murder,ABC,7.7
2014–2015,20,Person of Interest,CBS,7.7
2014–2015,22,NCIS: Los Angeles,CBS,7.6
2014–2015,23,Modern Family,ABC,7.5
2014–2015,23,Two and a Half Men,CBS,7.5
2014–2015,25,Elementary,CBS,7.3
2014–2015,25,The Mentalist,CBS,7.3
2014–2015,25,Mom,CBS,7.3
2014–2015,28,Castle,ABC,7.2
2014–2015,28,CSI: Crime Scene Investigation,CBS,7.2
2014–2015,28,CSI: Cyber,CBS,7.2
